INACAP;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCG04;Instalaciones de Gas y Eléctricas;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;4;0;NO;1;20;6.4;6.3;6.6;0;;15.4;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCH06;Hormigones y Morteros;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;6;0;NO;3;28;5.9;6.5;6.2;1;;;;0;SI;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCH14;Proyecto Integrado;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;4;0;SI;1;15;5.4;6.3;6.6;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCH14;Proyecto Integrado;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;4;0;NO;1;21;6.3;6.7;7;1;;20;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCI04;Instalaciones Sanitarias;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;4;0;NO;1;20;6.7;6.6;6.7;1;;14.8;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCI04;Instalaciones Sanitarias;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;4;0;SI;1;18;5.6;6.6;6.5;0;;20;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCM02;Taller BIM;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;2;0;NO;2;29;6.3;6.4;5.3;0;;13.6;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCM02;Taller BIM;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;2;0;NO;2;32;6.6;6.7;6.2;0;;20.8;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCO06;Planificación de Obras de Construcción;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;6;1;NO;2;26;6.4;6.3;6.2;2;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCP02;Taller de Cubicación y Presupuesto;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;2;0;NO;2;19;4.9;5.1;5.5;1;;16.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCP02;Taller de Cubicación y Presupuesto;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;2;0;NO;2;29;5;5.5;5.7;1;;14.3;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCP12;Aspectos Legales y Contratos;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;2;0;NO;1;28;4.9;6;6;0;;4.5;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCP12;Aspectos Legales y Contratos;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;2;0;NO;1;32;5.5;5.4;5.5;2;;20.8;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCP22;Obra Gruesa;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;2;0;NO;1;31;6;5.6;6.3;1;;20.8;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCP22;Obra Gruesa;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;2;0;NO;2;29;5.3;4.9;5.3;0;;8.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCP32;Terminaciones;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;2;0;NO;2;30;4.9;5.1;5;0;;21.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCP32;Terminaciones;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;2;0;NO;1;32;6.7;5.9;5.9;1;;20;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCS04;Construcción Sustentable;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;4;0;SI;1;20;5.1;6.3;5.8;0;;23.1;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCS04;Construcción Sustentable;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;4;0;NO;1;23;6;6.8;6.8;0;;19.2;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;COCI01;Construcción Industrializada;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-4;I.P.;DIURNA;6;0;NO;1;6;6.9;5.7;5.6;1;;9.5;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;COEE15;Laboratorio de Innovación de Materiales;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;CC-CC0-4-Electivos;I.P.;DIURNA;1;0;NO;1;12;6.9;5.3;5.5;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;COHI02;Taller Integrado de Propuestas;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-1;C.F.T.;VESPERTINA;4;0;SI;1;8;4.5;5.4;5.1;0;;33.3;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;COHI03;Taller de Propuestas y Licitaciones BIM;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-4;I.P.;DIURNA;6;0;NO;1;6;5.8;6.8;6.9;1;;20.8;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;COHI04;Proyecto de Título;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-4;I.P.;DIURNA;8;0;SI;1;22;6;4.9;5.9;5;;7.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;COOC01;Obras Civiles;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-4;I.P.;DIURNA;8;0;SI;1;22;5.4;6.8;5.8;1;;7.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;COSE01;Sustentabilidad y Economía Circular;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-4;I.P.;DIURNA;8;0;SI;1;21;5.6;7;6.7;3;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;DDA303;Animación Digital;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;4;0;SI;2;31;5.8;4;4.7;8;;;;0;SI;13
PRIMAVERA 2025;Zona Austral;COYHAIQUE;DDA304;Metodología de la Creatividad;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;2;0;NO;2;37;5.8;5.7;5.1;9;;31;;0;SI;18
PRIMAVERA 2025;Zona Austral;COYHAIQUE;DDB403;Laboratorio Digital Web;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;2;0;NO;1;18;6.2;4.3;6.4;0;;24.1;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;DDB405;Laboratorio Digital UI;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;4;0;SI;2;32;3.9;5;5.8;9;;;;0;SI;16
PRIMAVERA 2025;Zona Austral;COYHAIQUE;DDB406;Taller de Diseño de Interfaz;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;4;0;SI;2;33;6.7;6;6.3;6;;;;0;SI;17
PRIMAVERA 2025;Zona Austral;COYHAIQUE;DDC402;Imagen y Gráfica Digital;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;2;0;NO;2;33;6.5;5.8;4.8;6;;17.2;;0;SI;16
PRIMAVERA 2025;Zona Austral;COYHAIQUE;DDC403;Taller Diseño Web;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;2;0;NO;1;18;5.2;4.9;5.7;0;;24.1;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;DIIT01;Proyecto Integrado;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;4;0;SI;1;16;5.6;4.7;5.3;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;EDSB01;Salud Bucal Familiar y Comunitaria;Salud;OD;Técnico en Odontología;OD0;Sin Mención;OD-OD0-2;C.F.T.;DIURNA;4;1;NO;1;5;4.6;4.8;5.3;0;;3.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGES01;Inglés Inicial;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-4;C.F.T.;DIURNA;4;0;SI;1;18;6.6;6.6;6.5;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGES01;Inglés Inicial;Salud;TO;Técnico en Odontología;TO;Sin mención;TO-TO-1;C.F.T.;DIURNA;4;1;NO;2;33;6.6;6.5;4.6;1;;;;0;SI;11
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGES02;Inglés Habilitante;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;IN-INGO1;I.P.;DIURNA;6;0;NO;1;35;;;;34;;0;;0;SI;35
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGES02;Inglés Habilitante;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;0;0;NO;1;32;5.8;5.6;6.4;2;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGES02;Inglés Habilitante;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;0;0;NO;1;18;5.6;5.4;6.5;1;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE01;Innovación y Emprendimiento I;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;4;1;NO;1;20;6.3;6.2;6.3;1;;3.3;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE01;Innovación y Emprendimiento I;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;4;0;SI;1;19;6.6;6.7;6.2;1;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE01;Innovación y Emprendimiento I;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;4;0;SI;1;19;7;7;5;2;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE01;Innovación y Emprendimiento I;Mecánica;ME;Técnico en Mecánica y Electromovilidad Automotriz;ME1;Sin Mención;ME-ME1-1;C.F.T.;VESPERTINA;4;0;SI;1;21;6.5;6.4;5.5;1;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE01;Innovación y Emprendimiento I;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;4;0;SI;1;18;5.1;6.6;6.4;1;;25;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE01;Innovación y Emprendimiento I;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;4;1;NO;1;21;6.9;6.9;7;2;;8.3;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE01;Innovación y Emprendimiento I;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;4;0;SI;1;27;6.3;6.4;6.2;3;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE01;Innovación y Emprendimiento I;Salud;48;Técnico en Enfermería;480;SIN MENCIÓN;48-480-7;C.F.T.;DIURNA;4;1;NO;2;48;7;7;7;1;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE01;Innovación y Emprendimiento I;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;4;1;NO;1;22;6.5;6.3;6.5;0;;22.2;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE03;Innovación y Emprendimiento III;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-4;I.P.;DIURNA;8;0;SI;1;28;6.5;6.4;6.4;1;;4;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE03;Innovación y Emprendimiento III;Administración;IAD;Ingeniería en Administración de Empresas;IAD;SIN MENCIÓN;IAD-IAD-1;I.P.;VESPERTINA;8;0;SI;1;18;7;7;7;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FGIE03;Innovación y Emprendimiento III;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;8;0;SI;1;14;5.4;5.6;6;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FVES01;Inglés Inicial;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-5;C.F.T.;VESPERTINA;4;0;SI;1;19;6.8;5.5;6.3;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FVES01;Inglés Inicial;Informática, Ciberseguridad y Telecomunicaciones;B5;Analista Programador;B50;SIN MENCIÓN;B5-B50-14;C.F.T.;VESPERTINA;4;0;SI;2;18;6.5;5.8;5.1;2;;;;0;SI;7
PRIMAVERA 2025;Zona Austral;COYHAIQUE;FVES01;Inglés Inicial;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;4;0;SI;1;23;6.5;5.9;5.9;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAB202;Diseño de Ofertas en Repostería;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;2;0;NO;1;24;5.5;6;5.6;0;;6.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAB202;Diseño de Ofertas en Repostería;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;2;0;NO;1;13;6.3;6.8;5.7;1;;5.9;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAC301;Recepción y Almacenamiento de Insumos;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;2;0;NO;1;13;5.3;6.4;6.4;1;;11.8;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAC301;Recepción y Almacenamiento de Insumos;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;2;0;NO;1;24;5.5;6.3;6.1;1;;6.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAC302;Taller de Producción Gastronómica;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;2;0;NO;3;36;6.7;6.4;5.7;1;;6.7;;0;SI;12
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAC302;Taller de Producción Gastronómica;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;2;0;NO;1;12;6.2;6.3;3.9;0;;5.9;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAC306;Taller de Servicio al Cliente en Restaurant;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;2;0;NO;1;12;5.5;7;5.9;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAC306;Taller de Servicio al Cliente en Restaurant;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;2;0;NO;2;22;6.6;7;7;0;;3.3;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAD401;Taller de Supervisión de la Producción Gastronómica;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;4;0;SI;1;13;6.5;6.1;6.7;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAD401;Taller de Supervisión de la Producción Gastronómica;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;4;0;SI;2;28;6.3;6.1;6.4;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAE401;Taller de Producción en Pastelería;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;2;0;NO;2;24;6.8;6.7;6.2;0;;3.3;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAE401;Taller de Producción en Pastelería;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;2;0;NO;1;12;6;6.6;5.3;0;;5.9;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAF401;Taller de Supervisión de la Producción en Pastelería;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;4;0;SI;2;27;6.3;6.4;6.4;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAF401;Taller de Supervisión de la Producción en Pastelería;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;4;0;SI;1;13;7;5.9;6.4;2;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAF402;Taller de Supervisión de la Producción en Heladería;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;4;0;SI;2;28;6.8;5.8;6.5;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAF402;Taller de Supervisión de la Producción en Heladería;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;4;0;SI;1;15;6.9;6.5;7;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAIT01;Proyecto Integrado;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;4;0;SI;1;15;6.4;7;6.7;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAIT01;Proyecto Integrado;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;4;0;SI;1;25;5.9;5.5;5.9;1;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAZ012;Inglés de Especialidad I;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;GA-GA-1-Electivos;I.P.;VESPERTINA;1;0;NO;1;4;5.7;7;6.9;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAZ012;Inglés de Especialidad I;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;GA-GA-1-Electivos;I.P.;DIURNA;1;0;NO;1;13;5.9;6.5;6.8;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAZ022;Laboratorio de Productos y Subproductos Alimenticios;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;GA-GA-1-Electivos;I.P.;VESPERTINA;1;0;NO;1;12;5.3;6.9;5.4;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GAZ022;Laboratorio de Productos y Subproductos Alimenticios;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;GA-GA-1-Electivos;I.P.;DIURNA;1;0;NO;1;14;5.3;5.9;5.5;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GSCA63;Confiabilidad Automotriz;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;6;0;NO;1;23;5;5.6;4.7;2;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GSES82;Electromovilidad Sostenible;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;8;0;SI;1;12;5.7;5.3;6.1;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GSPS24;Protocolos de Seguridad en Electromovilidad;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;2;0;NO;2;28;5.1;6.8;4.5;2;;14.8;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;GSPS24;Protocolos de Seguridad en Electromovilidad;Mecánica;ME;Técnico en Mecánica y Electromovilidad Automotriz;ME1;Sin Mención;ME-ME1-1;C.F.T.;VESPERTINA;2;0;NO;2;33;5.3;6.4;5.9;3;;17.9;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;HIIA45;Integración Automotriz II;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;4;0;NO;1;23;5.4;5.8;5.9;1;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;HIIA45;Integración Automotriz II;Mecánica;ME;Técnico en Mecánica y Electromovilidad Automotriz;ME1;Sin Mención;ME-ME1-1;C.F.T.;VESPERTINA;4;0;SI;1;25;5;5.8;6.9;0;;7.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;HIIA65;Integración Automotriz III;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;6;0;NO;1;21;5.2;5.8;4.6;1;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;HIPA85;Proyecto Automotriz;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;8;0;SI;1;12;4.6;5.8;5.7;0;;0;;0;NO;0
